vehicle,brand,model,category,sales,year,month,date,brandTesla,modelModel3,source
Nissan Leaf,Nissan,Leaf,bev,1539,2012,11,2012-11-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1519,2012,11,2012-11-01,Other,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,1259,2012,11,2012-11-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,800,2012,11,2012-11-01,Tesla,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,172,2012,11,2012-11-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,42,2012,11,2012-11-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,26,2012,11,2012-11-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,3,2012,11,2012-11-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2961,2012,10,2012-10-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1579,2012,10,2012-10-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,450,2012,10,2012-10-01,Tesla,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,144,2012,10,2012-10-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,118,2012,10,2012-10-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,30,2012,10,2012-10-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,16,2012,10,2012-10-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,10,2012-10-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2851,2012,9,2012-09-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,984,2012,9,2012-09-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,150,2012,9,2012-09-01,Tesla,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,59,2012,9,2012-09-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,36,2012,9,2012-09-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,16,2012,9,2012-09-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,9,2012-09-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2831,2012,8,2012-08-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,685,2012,8,2012-08-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,71,2012,8,2012-08-01,Tesla,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,37,2012,8,2012-08-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,34,2012,8,2012-08-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,9,2012,8,2012-08-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2012,8,2012-08-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,0,2012,8,2012-08-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1849,2012,7,2012-07-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,395,2012,7,2012-07-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,33,2012,7,2012-07-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,38,2012,7,2012-07-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,7,2012,7,2012-07-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,6,2012,7,2012-07-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,0,2012,7,2012-07-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1760,2012,6,2012-06-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,535,2012,6,2012-06-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,127,2012,6,2012-06-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,89,2012,6,2012-06-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,79,2012,6,2012-06-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,33,2012,6,2012-06-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1680,2012,5,2012-05-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,510,2012,5,2012-05-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,11,2012,5,2012-05-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,85,2012,5,2012-05-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,5,2012-05-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,6,2012,5,2012-05-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1462,2012,4,2012-04-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,370,2012,4,2012-04-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,326,2012,4,2012-04-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,79,2012,4,2012-04-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,4,2012-04-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2289,2012,3,2012-03-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,579,2012,3,2012-03-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,326,2012,3,2012-03-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,56,2012,3,2012-03-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,3,2012-03-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1023,2012,2,2012-02-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,478,2012,2,2012-02-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,115,2012,2,2012-02-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,44,2012,2,2012-02-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,2,2012,2,2012-02-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,676,2012,1,2012-01-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,603,2012,1,2012-01-01,Other,Other,hybridcars.com
BMW Active E,BMW,Active E,bev,112,2012,1,2012-01-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,36,2012,1,2012-01-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2012,1,2012-01-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1529,2011,12,2011-12-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,954,2011,12,2011-12-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,182,2011,12,2011-12-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,76,2011,12,2011-12-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1139,2011,11,2011-11-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,672,2011,11,2011-11-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,101,2011,11,2011-11-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1108,2011,10,2011-10-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,849,2011,10,2011-10-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,17,2011,10,2011-10-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1031,2011,9,2011-09-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,723,2011,9,2011-09-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1362,2011,8,2011-08-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,302,2011,8,2011-08-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2011,8,2011-08-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,931,2011,7,2011-07-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,125,2011,7,2011-07-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,1,2011,7,2011-07-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1708,2011,6,2011-06-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,561,2011,6,2011-06-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1142,2011,5,2011-05-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,481,2011,5,2011-05-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,8,2011,5,2011-05-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,573,2011,4,2011-04-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,493,2011,4,2011-04-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2011,4,2011-04-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,608,2011,3,2011-03-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,298,2011,3,2011-03-01,Other,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,0,2011,3,2011-03-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,281,2011,2,2011-02-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,67,2011,2,2011-02-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,321,2011,1,2011-01-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,87,2011,1,2011-01-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,326,2010,12,2010-12-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,19,2010,12,2010-12-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,1766,2012,11,2012-11-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,1889,2012,10,2012-10-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,1652,2012,9,2012-09-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,1047,2012,8,2012-08-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,688,2012,7,2012-07-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,695,2012,6,2012-06-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,1086,2012,5,2012-05-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,1654,2012,4,2012-04-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,911,2012,3,2012-03-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,8799,2014,12,2014-12-01,Other,Other,hybridcars.com
Toyota Prius C,Toyota,Prius C,hybrid,2839,2014,12,2014-12-01,Other,Other,hybridcars.com
Toyota Camry,Toyota,Camry,hybrid,2448,2014,12,2014-12-01,Other,Other,hybridcars.com
Ford Fusion,Ford,Fusion,hybrid,2372,2014,12,2014-12-01,Other,Other,hybridcars.com
Toyota Prius V,Toyota,Prius V,hybrid,2284,2014,12,2014-12-01,Other,Other,hybridcars.com
Lexus CT200h,Lexus,CT200h,hybrid,1608,2014,12,2014-12-01,Other,Other,hybridcars.com
Lexus ES,Lexus,ES,hybrid,1400,2014,12,2014-12-01,Other,Other,hybridcars.com
Ford C-Max,Ford,C-Max,hybrid,1303,2014,12,2014-12-01,Other,Other,hybridcars.com
Kia Optima,Kia,Optima,hybrid,1299,2014,12,2014-12-01,Other,Other,hybridcars.com
Honda Accord,Honda,Accord,hybrid,1233,2014,12,2014-12-01,Other,Other,hybridcars.com
Toyota Avalon,Toyota,Avalon,hybrid,1154,2014,12,2014-12-01,Other,Other,hybridcars.com
Lexus RX400/450h,Lexus,RX400/450h,hybrid,930,2014,12,2014-12-01,Other,Other,hybridcars.com
Hyundai Sonata,Hyundai,Sonata,hybrid,897,2014,12,2014-12-01,Other,Other,hybridcars.com
Lincoln MKZ,Lincoln,MKZ,hybrid,743,2014,12,2014-12-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,698,2014,12,2014-12-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,698,2014,12,2014-12-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,476,2014,12,2014-12-01,Other,Other,hybridcars.com
Toyota Highlander,Toyota,Highlander,hybrid,428,2014,12,2014-12-01,Other,Other,hybridcars.com
Subaru XV Crosstrek,Subaru,XV Crosstrek,hybrid,427,2014,12,2014-12-01,Other,Other,hybridcars.com
Infiniti Q50,Infiniti,Q50,hybrid,386,2014,12,2014-12-01,Other,Other,hybridcars.com
Lexus NX,Lexus,NX,hybrid,354,2014,12,2014-12-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,311,2014,12,2014-12-01,Other,Other,hybridcars.com
Honda CR-Z,Honda,CR-Z,hybrid,224,2014,12,2014-12-01,Other,Other,hybridcars.com
Nissan Pathfinder,Nissan,Pathfinder,hybrid,204,2014,12,2014-12-01,Other,Other,hybridcars.com
Infiniti QX60,Infiniti,QX60,hybrid,168,2014,12,2014-12-01,Other,Other,hybridcars.com
Chevrolet Impala,Chevrolet,Impala,hybrid,93,2014,12,2014-12-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,hybrid,57,2014,12,2014-12-01,Other,Other,hybridcars.com
Acura RLX,Acura,RLX,hybrid,29,2014,12,2014-12-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,22,2014,12,2014-12-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,22,2014,12,2014-12-01,Other,Other,hybridcars.com
Infiniti Q70,Infiniti,Q70,hybrid,20,2014,12,2014-12-01,Other,Other,hybridcars.com
Chevrolet Malibu,Chevrolet,Malibu,hybrid,15,2014,12,2014-12-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,hybrid,11,2014,12,2014-12-01,Other,Other,hybridcars.com
Lexus GS450h,Lexus,GS450h,hybrid,11,2014,12,2014-12-01,Other,Other,hybridcars.com
Mercedes ML450H,Mercedes,ML450H,hybrid,10,2014,12,2014-12-01,Other,Other,hybridcars.com
Acura ILX,Acura,ILX,hybrid,9,2014,12,2014-12-01,Other,Other,hybridcars.com
BMW Active 3 (335ih),BMW,Active 3 (335ih),hybrid,9,2014,12,2014-12-01,Other,Other,hybridcars.com
Mercedes E400H,Mercedes,E400H,hybrid,9,2014,12,2014-12-01,Other,Other,hybridcars.com
BMW Active 5 (535ih),BMW,Active 5 (535ih),hybrid,6,2014,12,2014-12-01,Other,Other,hybridcars.com
Lexus LS600h,Lexus,LS600h,hybrid,4,2014,12,2014-12-01,Other,Other,hybridcars.com
Mercedes S400HV,Mercedes,S400HV,hybrid,4,2014,12,2014-12-01,Other,Other,hybridcars.com
BMW 7-Series Active,BMW,7-Series Active,hybrid,2,2014,12,2014-12-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,hybrid,2,2014,12,2014-12-01,Other,Other,hybridcars.com
Cadillac Escalade,Cadillac,Escalade,hybrid,1,2014,12,2014-12-01,Other,Other,hybridcars.com
Chevrolet Tahoe,Chevrolet,Tahoe,hybrid,1,2014,12,2014-12-01,Other,Other,hybridcars.com
GMC Yukon,GMC,Yukon,hybrid,1,2014,12,2014-12-01,Other,Other,hybridcars.com
GMC Sierra,GMC,Sierra,hybrid,1,2014,12,2014-12-01,Other,Other,hybridcars.com
Toyota Prius Liftback,Toyota,Prius Liftback,hybrid,10298,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota Camry,Toyota,Camry,hybrid,3916,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota Prius C,Toyota,Prius C,hybrid,3569,2014,4,2014-04-01,Other,Other,hybridcars.com
Ford Fusion,Ford,Fusion,hybrid,3537,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota Prius V,Toyota,Prius V,hybrid,2403,2014,4,2014-04-01,Other,Other,hybridcars.com
Hyundai Sonata,Hyundai,Sonata,hybrid,2055,2014,4,2014-04-01,Other,Other,hybridcars.com
Ford C-Max,Ford,C-Max,hybrid,1586,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota Avalon,Toyota,Avalon,hybrid,1522,2014,4,2014-04-01,Other,Other,hybridcars.com
Honda Accord,Honda,Accord,hybrid,1442,2014,4,2014-04-01,Other,Other,hybridcars.com
Lexus ES,Lexus,ES,hybrid,1242,2014,4,2014-04-01,Other,Other,hybridcars.com
Kia Optima,Kia,Optima,hybrid,1060,2014,4,2014-04-01,Other,Other,hybridcars.com
Lexus CT200h,Lexus,CT200h,hybrid,1054,2014,4,2014-04-01,Other,Other,hybridcars.com
Lincoln MKZ,Lincoln,MKZ,hybrid,1047,2014,4,2014-04-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,716,2014,4,2014-04-01,Other,Other,hybridcars.com
Buick LaCrosse,Buick,LaCrosse,hybrid,716,2014,4,2014-04-01,Other,Other,hybridcars.com
Subaru XV Crosstrek,Subaru,XV Crosstrek,hybrid,711,2014,4,2014-04-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,450,2014,4,2014-04-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,441,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota Highlander,Toyota,Highlander,hybrid,418,2014,4,2014-04-01,Other,Other,hybridcars.com
Lexus RX400/450h,Lexus,RX400/450h,hybrid,387,2014,4,2014-04-01,Other,Other,hybridcars.com
Honda CR-Z,Honda,CR-Z,hybrid,369,2014,4,2014-04-01,Other,Other,hybridcars.com
Infiniti Q50,Infiniti,Q50,hybrid,263,2014,4,2014-04-01,Other,Other,hybridcars.com
Nissan Pathfinder,Nissan,Pathfinder,hybrid,183,2014,4,2014-04-01,Other,Other,hybridcars.com
Volkswagen Jetta,Volkswagen,Jetta,hybrid,149,2014,4,2014-04-01,Other,Other,hybridcars.com
Chevrolet Malibu,Chevrolet,Malibu,hybrid,130,2014,4,2014-04-01,Other,Other,hybridcars.com
Infiniti QX60,Infiniti,QX60,hybrid,114,2014,4,2014-04-01,Other,Other,hybridcars.com
Porsche Cayenne,Porsche,Cayenne,hybrid,84,2014,4,2014-04-01,Other,Other,hybridcars.com
Acura ILX,Acura,ILX,hybrid,49,2014,4,2014-04-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,41,2014,4,2014-04-01,Other,Other,hybridcars.com
Buick Regal,Buick,Regal,hybrid,41,2014,4,2014-04-01,Other,Other,hybridcars.com
Mercedes E400H,Mercedes,E400H,hybrid,39,2014,4,2014-04-01,Other,Other,hybridcars.com
Lexus GS450h,Lexus,GS450h,hybrid,35,2014,4,2014-04-01,Other,Other,hybridcars.com
Chevrolet Impala,Chevrolet,Impala,hybrid,34,2014,4,2014-04-01,Other,Other,hybridcars.com
Audi Q5,Audi,Q5,hybrid,21,2014,4,2014-04-01,Other,Other,hybridcars.com
BMW Active 3 (335ih),BMW,Active 3 (335ih),hybrid,13,2014,4,2014-04-01,Other,Other,hybridcars.com
Infiniti M,Infiniti,M,hybrid,11,2014,4,2014-04-01,Other,Other,hybridcars.com
Lexus LS600h,Lexus,LS600h,hybrid,9,2014,4,2014-04-01,Other,Other,hybridcars.com
GMC Yukon,GMC,Yukon,hybrid,7,2014,4,2014-04-01,Other,Other,hybridcars.com
BMW Active 5 (535ih),BMW,Active 5 (535ih),hybrid,6,2014,4,2014-04-01,Other,Other,hybridcars.com
BMW 7-Series Active,BMW,7-Series Active,hybrid,6,2014,4,2014-04-01,Other,Other,hybridcars.com
Chevrolet Tahoe,Chevrolet,Tahoe,hybrid,5,2014,4,2014-04-01,Other,Other,hybridcars.com
Chevrolet Silverado,Chevrolet,Silverado,hybrid,3,2014,4,2014-04-01,Other,Other,hybridcars.com
Volkswagen Touareg,Volkswagen,Touareg,hybrid,3,2014,4,2014-04-01,Other,Other,hybridcars.com
Cadillac Escalade,Cadillac,Escalade,hybrid,2,2014,4,2014-04-01,Other,Other,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2088,2014,4,2014-04-01,Other,Other,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2014,4,2014-04-01,Tesla,Other,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,203,2014,4,2014-04-01,Other,Other,hybridcars.com
Fiat 500e,Fiat,500e,bev,152,2014,4,2014-04-01,Other,Other,hybridcars.com
Ford Focus,Ford,Focus,bev,116,2014,4,2014-04-01,Other,Other,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,97,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,69,2014,4,2014-04-01,Other,Other,hybridcars.com
Honda Fit,Honda,Fit,bev,50,2014,4,2014-04-01,Other,Other,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,12,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1741,2014,4,2014-04-01,Other,Other,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1548,2014,4,2014-04-01,Other,Other,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,743,2014,4,2014-04-01,Other,Other,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,525,2014,4,2014-04-01,Other,Other,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,63,2014,4,2014-04-01,Other,Other,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,61,2014,4,2014-04-01,Other,Other,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,37,2014,4,2014-04-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,32,2012,11,2012-11-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,47,2012,10,2012-10-01,Other,Other,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,61,2012,9,2012-09-01,Other,Other,hybridcars.com
Volkswagen Passat,Volkswagen,Passat,diesel,2010,2012,4,2012-04-01,Other,Other,hybridcars.com
Volkswagen Passat,Volkswagen,Passat,diesel,2052,2012,3,2012-03-01,Other,Other,hybridcars.com
Volkswagen Passat,Volkswagen,Passat,diesel,1948,2012,2,2012-02-01,Other,Other,hybridcars.com
Volkswagen Passat,Volkswagen,Passat,diesel,1229,2012,1,2012-01-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,1652,2010,3,2010-03-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,1494,2010,3,2010-03-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,579,2010,3,2010-03-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,2014,2010,2,2010-02-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,712,2010,2,2010-02-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,346,2010,2,2010-02-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,1307,2010,1,2010-01-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,1247,2010,1,2010-01-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,253,2010,1,2010-01-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,1639,2009,12,2009-12-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,471,2009,12,2009-12-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,1403,2009,11,2009-11-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,1407,2009,11,2009-11-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,243,2009,11,2009-11-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,1739,2009,10,2009-10-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,1527,2009,10,2009-10-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,239,2009,10,2009-10-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,1746,2009,9,2009-09-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,152,2009,9,2009-09-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,4226,2009,8,2009-08-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,717,2009,8,2009-08-01,Other,Other,hybridcars.com
Lexus HS250h,Lexus,HS250h,hybrid,543,2009,8,2009-08-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,2295,2009,7,2009-07-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,969,2009,7,2009-07-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,2079,2009,6,2009-06-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,1583,2009,6,2009-06-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,2780,2009,5,2009-05-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,2077,2009,5,2009-05-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,2096,2009,4,2009-04-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,3361,2009,4,2009-04-01,Other,Other,hybridcars.com
Honda Insight,Honda,Insight,hybrid,569,2009,3,2009-03-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,2869,2009,3,2009-03-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,1362,2009,2,2009-02-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,1076,2009,1,2009-01-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,1036,2008,12,2008-12-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,1043,2008,11,2008-11-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,1621,2008,10,2008-10-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,2020,2008,9,2008-09-01,Other,Other,hybridcars.com
Honda Accord,Honda,Accord,hybrid,0,2008,9,2008-09-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,3105,2008,8,2008-08-01,Other,Other,hybridcars.com
Honda Accord,Honda,Accord,hybrid,2,2008,8,2008-08-01,Other,Other,hybridcars.com
Honda Civic,Honda,Civic,hybrid,3440,2008,7,2008-07-01,Other,Other,hybridcars.com
